qID,p_clip_real,p_clip_degraded,delta
heico__2406028,0.8928050398826599,0.022968877106904984,-0.8698361627757549
heico__2406035,0.9735622406005859,0.44825980067253113,-0.5253024399280548
heico__2406051,0.9977543354034424,0.20129325985908508,-0.7964610755443573
heico__2406052,0.7977990508079529,0.9624384641647339,0.164639413356781
heico__2406059,0.8170902729034424,0.0019265084993094206,-0.815163764404133
heico__2452380,0.9732911586761475,0.07572340965270996,-0.8975677490234375
heico__2482815,0.8492746949195862,0.9671750664710999,0.11790037155151367
heico__2452837,0.9865633249282837,0.9978251457214355,0.011261820793151855
heico__2482985,0.5544089078903198,0.8280096650123596,0.2736007571220398
heico__2452670,0.691943883895874,0.3055265545845032,-0.38641732931137085
heico__2528987,0.7043222188949585,0.02535829320549965,-0.6789639256894588
heico__2529218,0.9947488307952881,0.43685340881347656,-0.5578954219818115
heico__2569522,0.7423621416091919,0.635094404220581,-0.10726773738861084
heico__2569549,0.49951833486557007,0.11015500128269196,-0.3893633335828781
heico__2525055,0.5070233941078186,0.6691941618919373,0.16217076778411865
heico__2525161,0.9042463302612305,0.6708738207817078,-0.2333725094795227
heico__2525017,0.4792706072330475,0.1504698544740677,-0.3288007527589798
heico__2529017,0.38636893033981323,0.33490848541259766,-0.051460444927215576
heico__2569553,0.42229172587394714,0.126453697681427,-0.29583802819252014
heico__2525180,0.40695706009864807,0.07943632453680038,-0.3275207355618477
heico__2615448,0.8457637429237366,0.7642539739608765,-0.08150976896286011
heico__2618667,0.8491346836090088,0.8127810955047607,-0.03635358810424805
heico__2657581,0.7965821027755737,0.7847170829772949,-0.011865019798278809
heico__2618415,0.961751401424408,0.6496972441673279,-0.3120541572570801
heico__2615752,0.9583484530448914,0.884425938129425,-0.07392251491546631
heico__2615580,0.6694952249526978,0.6685643792152405,-0.0009308457374572754
heico__2604725,0.7750512957572937,0.36370518803596497,-0.41134610772132874
heico__2604727,0.7938144207000732,0.25533023476600647,-0.5384841859340668
heico__2604728,0.8788543343544006,0.9987298250198364,0.11987549066543579
heico__2604729,0.9960193634033203,0.9837414026260376,-0.012277960777282715
heico__2604730,0.994024932384491,0.9928667545318604,-0.0011581778526306152
heico__2604731,0.9727197289466858,0.9993898868560791,0.02667015790939331
heico__2604732,0.9564926624298096,0.9941257834434509,0.03763312101364136
heico__2604733,0.9935140013694763,0.9649365544319153,-0.028577446937561035
heico__2604734,0.9192216992378235,0.9930650591850281,0.07384335994720459
heico__2604735,0.9800283312797546,0.9203889966011047,-0.0596393346786499
heico__2604736,0.9306141138076782,0.9562582969665527,0.02564418315887451
heico__2618631,0.9388123154640198,0.952484130859375,0.013671815395355225
heico__2618493,0.7906593680381775,0.7080547213554382,-0.08260464668273926
heico__2657802,0.9753329157829285,0.7717376351356506,-0.20359528064727783
heico__2657446,0.9135773777961731,0.28819024562835693,-0.6253871321678162
heico__2657466,0.6750739216804504,0.3692724406719208,-0.30580148100852966
heico__1973640,0.9135570526123047,0.8486314415931702,-0.06492561101913452
heico__2004346,0.8322367072105408,0.4369173049926758,-0.395319402217865
heico__2004381,0.5270760655403137,0.8375253081321716,0.3104492425918579
heico__2004384,0.9200552105903625,0.9827443361282349,0.06268912553787231
heico__2015580,0.8445411920547485,0.6340841054916382,-0.21045708656311035
heico__2015581,0.7362522482872009,0.41459470987319946,-0.32165753841400146
heico__2015582,0.5137649178504944,0.7357019186019897,0.22193700075149536
heico__2015585,0.7940542697906494,0.4046882092952728,-0.3893660604953766
heico__1975589,0.5520234704017639,0.5167538523674011,-0.03526961803436279
heico__1973775,0.9784247875213623,0.9002107977867126,-0.07821398973464966
lapchole__134160,0.525243878364563,0.04192669317126274,-0.48331718519330025
lapchole__620726,0.7014676332473755,0.3188679814338684,-0.3825996518135071
lapchole__616970,0.650784969329834,0.9974257946014404,0.34664082527160645
lapchole__685559,0.8644590973854065,0.8730369210243225,0.008577823638916016
lapchole__621133,0.979762077331543,0.96611487865448,-0.013647198677062988
lapchole__607052,0.9786784648895264,0.9302772879600525,-0.04840117692947388
lapchole__733714,0.8773148059844971,0.7520239353179932,-0.1252908706665039
lapchole__723120,0.8794440031051636,0.012434153817594051,-0.8670098492875695
